p0,p1,p2,p3,p4,p5,objective,elapsed_sec
 , , ,80,16,256,0.0056784999999999995,1502.6572015285492
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,64,0.0099755,1512.4047739505768
 , , ,100,50,50,0.00571,1521.65717959404
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,64,20,0.0126795,1531.8106343746185
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,128,50,0.009521,1541.7051157951355
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,64,8,0.0272265,1552.0490849018097
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,80,0.0115,1562.2124037742615
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,256,0.009622,1572.18519115448
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,20,20,0.020861,1584.233457326889
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,0.018786999999999998,1595.0378715991974
 , , ,128,32,128,0.0057285,1604.736700296402
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,0.0684505,1616.3649191856384
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,20,0.0137835,1627.2647132873535
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,20,0.0188645,1638.0883598327637
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,20,80,0.010332000000000001,1648.7532231807709
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,4,0.079822,1660.6495280265808
 , , ,4,64,4,0.009053,1670.3463695049286
 , , ,64,20,4,0.0099225,1680.807942867279
 , , ,50,100,256,0.005818,1690.065185546875
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,20,0.009711000000000001,1700.2968046665192
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,128,32,0.015002,1710.40034532547
 , , ,128,32,50,0.0058455,1720.0763475894928
