p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,100,20,0.0068715,1578.0439457893372
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,20,0.0052770000000000004,1588.970887184143
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,50,0.019852500000000002,1597.9810857772827
 , ,16,4,100,0.024272000000000002,1605.2674341201782
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,20,0.0046275,1616.0379259586334
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,80,64,0.0248805,1623.9661123752594
 , ,100,100,80,0.022913,1631.4157762527466
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,100,0.0240895,1638.8196578025818
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,8,8,0.013642499999999998,1646.8248372077942
 , ,20,80,80,0.0228545,1654.121056318283
 , ,4,64,80,0.0231745,1662.6898260116577
