p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective,elapsed_sec
 , , ,16,64,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0003105,932.2228169441223
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,8,100,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.001699,941.6798877716064
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,100,64, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.001509,950.476891040802
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.00038250000000000003,960.7339928150177
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,8,32,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0011995,970.1869533061981
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.000375,979.9195113182068
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,4,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0003455,990.3733336925507
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,4,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0002265,1001.1546232700348
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0002635,1011.1828474998474
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,32,256, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0016375,1020.9100759029388
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,50,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0015145,1031.3745090961456
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,2048,50, , , , ,0.001345,1040.17933011055
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,64,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0014765,1049.9453847408295
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,20, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.00047400000000000003,1060.8215682506561
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,64,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.00024249999999999999,1071.8704957962036
 , , ,20,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.000162,1081.6091661453247
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.00016649999999999998,1091.162793636322
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,100, , , , ,0.001624,1100.1323125362396
